states,Apr-2020,Mar-2020,May-2020
Andaman and Nicobar Islands,39,10,17
Andhra Pradesh,1710,45,3079
Arunachal Pradesh,2,0,1
Assam,72,1,542
Bihar,489,22,2972
Chandigarh,77,15,365
Chhattisgarh,65,11,283
Dadra and Nagar Haveli,0,0,3
Daman and Diu,0,0,0
Delhi,4540,128,16432
Goa,9,5,72
Gujarat,5137,85,16770
Haryana,517,60,1453
Himachal Pradesh,65,6,220
Jammu and Kashmir,780,58,1662
Jharkhand,131,1,425
Karnataka,704,112,2115
Kerala,618,267,550
Ladakh,23,16,57
Lakshadweep,0,0,0
Madhya Pradesh,3174,71,7486
Maharashtra,12378,351,57418
Manipur,3,1,34
Meghalaya,13,0,15
Mizoram,0,1,1
Nagaland,0,0,3
Odisha,181,4,1909
Puducherry,12,1,53
Punjab,557,47,3430
Rajasthan,3439,96,7988
Sikkim,0,0,1
Tamil Nadu,3477,131,22324
Telangana,1391,117,1632
Tripura,4,0,358
Uttar Pradesh,2681,121,7524
Uttarakhand,84,9,318
West Bengal,872,43,4593
total,43242,1835,164747
un,0,0,2642
